ID,Task,Status,Owner,Priority,Blocked on,Effort,What / why,Evidence
CQ-043,CI has never executed once — the app repo has no git remote,Open,App dev,P1,"a secret, account, hosted URL or a Mac",15 min once a repo exists,"Confirmed with my own eyes and now MORE consequential than when it was written. `git remote -v` in C:/Users/PRIYA CHOUDHARY/OneDrive/Desktop/Projects/cq-mobile prints nothing, and ci.yml lines 3-6 state the reason itself. Because the working tree was just fully committed (previous finding), the entire app — 129 lib files, 19 test files, the CI gate — now exists as commits in exactly one local .git directory with nowhere to push. The only off-machine copy is the stale jobportal mirror (2026-08-15, 118 lib files, 2 test files), so a disk failure tonight still costs 4 days of code plus 17 of the 19 test files. I am holding app-gated, but narrowly: a dedicated hosted repo needs the owner's GitHu","`cd cq-mobile && git remote -v` → empty output (verified twice, before and after the commit burst). `.github/workflows/ci.yml` lines 3-6: ""this file is correct but INERT today — the app's git remote (github.com/priyachoudhary-dev/CQ-Mobile) was deleted, so nothing hosts these runs."" Current branch `"
CQ-044,"Google sign-in is a ""coming soon"" sheet in four places while the backend endpoint is live",Open,App dev,P1,"a secret, account, hosted URL or a Mac","~half a day of app work plus real transport design, and only after the OAuth clients exist","Confirmed. One factual correction to the original evidence: `googleAudiences()` does NOT fail fully closed — jobportal/apps/api/src/auth/social-client-ids.ts:35-38 explicitly falls back to the existing `GOOGLE_CLIENT_ID` used by the browser flow, so an environment that already configured web sign-in would accept a web-audience token without `GOOGLE_MOBILE_CLIENT_IDS`. That weakens the API-env half of the blocker but not the verdict: the app still needs a Google Cloud Android OAuth client keyed to the release keystore's SHA-1 (and the web client id to pass as serverClientId to get an idToken back at all), which is an account/credential the owner must create. dependsOn app-gated is correct. Th","All four Google buttons: lib/features/auth/presentation/auth_landing_screen.dart:236, login_screen.dart:225, phone_continue_screen.dart:137, register_screen.dart:241 — every one `showComingSoon(context, 'Google sign-in')`. pubspec.yaml:9-25 has no google_sign_in. Backend live: jobportal/apps/api/src"
CQ-045,"""Continue with Google"" is a dead end even though the backend endpoint already exists",Open,App dev,P1,"a secret, account, hosted URL or a Mac","1–2 days of app work, and only after the OAuth clients exist","Confirmed, and app-gated is the correct and strict label — I specifically tried to knock it down to app-independent and could not. Three separate external inputs are required before a single line of Flutter work can be validated: an Android OAuth client (which needs the release keystore's SHA-1, and no release keystore exists yet), a Web OAuth client, and the API env var being set by whoever owns the backend deploy. Even a perfectly written Flutter integration returns 401 for every user until those exist. Minor correction: four entry points, not three.","Four entry points, not three: auth_landing_screen.dart:236, login_screen.dart:225, phone_continue_screen.dart:137 and register_screen.dart:241 (the last is `showComingSoon(context, 'Google sign-up')`). `grep google pubspec.yaml` returns only `google_fonts: ^8.2.0` and the bundled-font asset lines — "
CQ-046,Every shared job and company link points at localhost unless the build passes a dart-define,Open,App dev,P1,"a secret, account, hosted URL or a Mac",15 min once a domain exists,"Confirmed verbatim including the acknowledging comment. app-gated is correct: the real fix is a production domain, which is a deploy the app developer cannot perform. I considered correcting this to app-independent on the grounds that an app dev could add a release-mode assert or a compile-time guard so a release build cannot silently ship the localhost default — that hardening genuinely is app-independent and worth doing — but it only converts a silent broken artefact into a loud build failure; it does not make a shared link work. The label stands.","cq-mobile/lib/core/config/app_config.dart:34-37 `static const String webBaseUrl = String.fromEnvironment('WEB_BASE_URL', defaultValue: 'http://localhost:3000');`, with the comment at :30-33 ""The website has no production domain yet (the API's own WEB_URL still defaults to localhost), so a shared lin"
CQ-047,No iOS privacy manifest (PrivacyInfo.xcprivacy) for App Store submission,Open,App dev,P2,"a secret, account, hosted URL or a Mac","~1 hour, on a Mac with Xcode, at iOS-submission time","The absence is CONFIRMED: `find ios -iname '*.xcprivacy' -o -iname '*.entitlements'` returns nothing, and ios/Runner/ contains only AppDelegate.swift, SceneDelegate.swift, Info.plist, Assets.xcassets, Base.lproj, GeneratedPluginRegistrant.{h,m} and Runner-Bridging-Header.h. The ATS observation is also correct — Info.plist has no NSAppTransportSecurity key, so iOS enforces strict ATS by default. TWO OVERSTATEMENTS to trim when reporting: (a) 'a submission without it is rejected at upload' is too absolute — Apple rejects when required-reason APIs are used without a declaration, and several bundled plugins (flutter_secure_storage, path_provider, share_plus, file_picker per pubspec.yaml) ship th","`find ios -iname ""*.xcprivacy"" -o -iname ""*.entitlements""` -> empty; `ls ios/Runner` -> AppDelegate.swift, Assets.xcassets, Base.lproj, GeneratedPluginRegistrant.h/.m, Info.plist, Runner-Bridging-Header.h, SceneDelegate.swift; ios/Runner/Info.plist has no NSAppTransportSecurity key"
CQ-048,"The ""Build release APK"" CI step would pass, but proves nothing about releasability",Open,App dev,P2,"a secret, account, hosted URL or a Mac",30 min once the keystore exists,"Confirmed. The release build type still assigns the debug signing config, there is no android/key.properties and no .jks/.keystore anywhere, so the artifact that step would produce is unshippable — the CI comment's claim that it exercises 'the signing setup' is false today. app-gated is the right call and I am keeping it: the upload key must be owned and backed up by the owner and is bound to the Play account, so a dev generating a throwaway keystore does not produce the thing that matters. One nuance worth telling the senior: the wiring half — a signingConfigs.create(""release"") block reading key.properties, with the file already covered by .gitignore — is app-independent and can be written ","android/app/build.gradle.kts:33-38 — `release { // TODO: Add your own signing config for the release build. ... signingConfig = signingConfigs.getByName(""debug"") }`. `ls android/key.properties android/*.jks android/app/*.jks` → all No such file or directory. .gitignore:44-46 already excludes `**/key"
CQ-049,CI never builds the iOS target,Open,App dev,P2,"a secret, account, hosted URL or a Mac","30 min to add the job, once a GitHub repo exists again","CONFIRMED — I read the entire workflow, there is exactly one job and one build step, both Linux/Android. dependsOn app-gated is right and I deliberately did not upgrade it: the YAML edit is Windows-typable, but the deliverable here is *proof the iOS target compiles*, which requires a hosted GitHub repo (deleted) and a macOS runner. Adding a job to an already-inert file buys the owner nothing tonight, so it must not be presented as an app-independent action item.",".github/workflows/ci.yml:15-16 `verify: runs-on: ubuntu-latest`; the only build step is :40-41 `- name: Build release APK / run: flutter build apk --release`. No macos-latest job exists in the file (41 lines total, read in full). Header :3-6 states the remote github.com/priyachoudhary-dev/CQ-Mobile "
CQ-050,Apple sign-in endpoint exists; the app has no Apple path at all,Open,App dev,P2,"a secret, account, hosted URL or a Mac","~half a day, gated on a paid Apple Developer account, a bundle id and a Mac","Confirmed, including the 'no fallback' comment that makes this strictly harder to enable than Google. dependsOn app-gated is correct and if anything under-states the blockers: a paid Apple Developer account, a registered bundle id and a macOS machine to build iOS at all. Correctly ranked nice-to-have — it only becomes mandatory under App Store Review Guideline 4.8 once Google sign-in ships on iOS, and no social sign-in ships today.","jobportal/apps/api/src/auth/mobile-auth.controller.ts:239 `@Post('apple')`, handling the email-omitted-on-repeat and name-on-first-authorisation cases at :253-260. jobportal/apps/api/src/auth/social-client-ids.ts:43-45 `/** Accepted Apple audiences. No fallback — Apple has no pre-existing flow. */` "
CQ-051,No privacy policy or terms page exists on the website — the URL both Consoles require as a mandatory field has no destination,Open,Website dev,P0,backend/website developer,half a day (routes) + owner time for policy text,"CONFIRMED with my own greps, including the two escape hatches the original auditor did not check — the Next 16 catch-all route and the site footer. Neither provides a legal page. dependsOn=website is correct: the deliverable is a route on apps/web that only the web dev can add; the owner supplies the policy text but has nothing to supply it into. Not app-independent under any reading.","`find apps/web/app -maxdepth 2 -type d | sort` returns 41 route dirs — (auth), (seo-jobs), [...path], admin, alerts, api, applications, career-advice, companies, company, job, onboarding, profile, saved-jobs, settings, sitemap — with no privacy/terms/legal. Case-insensitive `grep -rEln ""privacy|Priv"
CQ-052,Play Data Safety requires a web-based account/data-deletion URL in addition to the in-app path,Open,Website dev,P0,backend/website developer,half a day,"CONFIRMED. I specifically tried to refute this by proving the in-app path was incomplete — it is not, it is fully wired including the disabled-button state and post-delete logout, so the auditor was right to credit it. What remains is only the Play Console 'Data deletion' web URL, which Play requires for any app supporting in-app account creation and which no route on apps/web serves. dependsOn=website is correct — a hosted request page is not something the app dev can produce.","In-app half verified end to end and it genuinely works: settings_screen.dart:89-160 `_confirmDelete()` gates on `controller.text.trim().toUpperCase() == 'DELETE'`, is wired to a real button at :275 (`onPressed: _deleting ? null : _confirmDelete`) under a 'Danger zone' header at :259-264, and calls s"
CQ-053,A release build compiles against http://127.0.0.1:4000 — there is no production API host to point it at,Open,Website dev,P0,backend/website developer,~15 min app-side (one --dart-define) once a deployed HTTPS API origin exists,"Confirmed exactly as described, including the subtle part the auditor got right — the loopback cleartext exemption means the misconfiguration presents as a hang rather than an error, so it would not be caught by casual smoke-testing. dependsOn=website is correct: no amount of app-side work produces a reachable API origin, and the app cannot pick a better default because no deployed host exists anywhere in the backend monorepo's own configuration. (Strictly, standing the API up also needs an owner-held hosting account and domain, but the blocking unit of work is a backend deploy by another developer, so ""website"" is the right single label.)","C:/Users/PRIYA CHOUDHARY/OneDrive/Desktop/Projects/cq-mobile/lib/core/config/app_config.dart:22-25 — `static const String apiBaseUrl = String.fromEnvironment('API_BASE_URL', defaultValue: 'http://127.0.0.1:4000')`, compile-time baked. Nothing supplies an override: `.github/workflows/ci.yml:41` is a "
CQ-054,WEB_BASE_URL default makes every shared link point at http://localhost:3000,Open,Website dev,P1,backend/website developer,~10 min app-side (one --dart-define) once the public domain exists,"Confirmed, including that this is a shipped and reachable feature rather than dead code — share sits on both job detail and company detail, two taps from the home shell, so a reviewer will hit it. dependsOn=website is correct: the fix requires the public site to be deployed at a real domain, which no app-side change can produce. One correction in the app's favour that the auditor missed: there IS an app-independent mitigation available tonight — the share affordance could be hidden (or the raw slug shared without a host) whenever webBaseUrl still equals the loopback default, which would remove the dead-link exposure without waiting on the domain. That mitigation is app-independent; making sh","lib/core/config/app_config.dart:34-37 — `static const String webBaseUrl = String.fromEnvironment('WEB_BASE_URL', defaultValue: 'http://localhost:3000')`, with the comment at :30-33 stating ""The website has no production domain yet (the API's own WEB_URL still defaults to localhost)"" and suggesting `"
CQ-055,"No production HTTPS API host, and no ATS exception for on-device LAN testing",Open,Website dev,P1,backend/website developer,n/a app-side; 15 min to add the dev ATS exception once someone wants on-device LAN testing,"CONFIRMED on both halves. dependsOn website is correct for the blocking half — no app change produces an HTTPS origin that does not exist, and the code comment is the app dev's own record of that. I considered splitting the ATS-exception half out as app-independent (adding NSAllowsLocalNetworking is a Windows plist edit), but it is only worth doing on the day someone has an iPhone in hand, which is itself gated on the Mac/team from finding 2, so keeping it as one website-blocked item is the honest framing.","lib/core/config/app_config.dart:22-25 `static const String apiBaseUrl = String.fromEnvironment('API_BASE_URL', defaultValue: 'http://127.0.0.1:4000')` and :34-37 `webBaseUrl ... defaultValue: 'http://localhost:3000'`, with the comment at :30-31 reading 'The website has no production domain yet (the "
CQ-056,"Phone-OTP sign-in is a finished, reachable screen with no backend behind it",Open,Website dev,P1,backend/website developer,app side ~half a day once endpoints exist; a same-night app-only mitigation is to hide the entry points,"Confirmed — the route is real and reachable from the welcome screen and the button is a placeholder, and there is genuinely no candidate OTP endpoint in the API. dependsOn website is correct for shipping the feature: no amount of app work produces an SMS OTP endpoint. Noting for the owner that the *store-risk* half (a finished sign-in path that dead-ends in a 'coming soon' sheet) can be mitigated app-side tonight by hiding the phone entry points, which is why I did not reclassify — the feature is website-blocked, the cosmetic fix is not.","lib/features/auth/presentation/phone_continue_screen.dart:14-17 (doc comment: OTP ""needs a backend endpoint that doesn't exist yet""), :38-39 `showComingSoon(context, 'Phone OTP')`, plus full 10-digit Indian validation at :41-46. login_screen.dart:188 `onPressed: () => _soon('OTP login')`. `grep -rn "
CQ-057,Search has no type-ahead because /v1/jobs/suggest does not exist,Open,Website dev,P2,backend/website developer,app side ~2 hours once the route exists,"Confirmed exactly as described — the only suggest implementation lives inside a Next.js route handler the app cannot reach, and there is no suggest route anywhere on the API. dependsOn website is correct; there is no app-side substitute short of shipping a client that hits the website's internal route, which is not a public API surface.","jobportal/apps/api/src/public-jobs/public-jobs.controller.ts — `grep -n '@Get|@Post|@Controller'` returns exactly line 31 `@Controller({ path: 'jobs', version: '1' })`, 35 `@Get()`, 46 `@Get(':slug')`, then a separate 74 `me/job-state` controller. `grep -rn suggest --include=*.controller.ts apps/api"
CQ-058,Career-advice topic chips are assembled from whichever page happens to be loaded,Open,Website dev,P2,backend/website developer,app side ~1 hour once a topics route exists,"Confirmed by reading both files. The tag set really is derived from loaded hits, so a topic that only appears deeper in the result set is invisible until the user pages to it, and the chip row mutates during scroll. dependsOn website is correct — the facet data is not on the wire, and the only app-side alternatives (pre-fetching every page, or hard-coding a topic list that will drift from the CMS) are worse than the current behaviour.","lib/features/career_advice/presentation/career_advice_screen.dart:71-77 — comment ""Accumulate the tag set across loads (mock is one page; live grows it as more results come in)"" followed by `final set = _allTags.toSet(); for (final a in data.hits) set.addAll(a.tags);`. jobportal/apps/api/src/public-"
CQ-059,"Company page dead-ends at ""Showing 10 of 43"" because /v1/jobs has no company filter",Open,Website dev,P2,backend/website developer,app side ~1 hour once the param exists,"Confirmed — I read the DTO end to end and there is no company param, and `.strict()` means the app cannot even smuggle one. dependsOn website is correct. I considered whether the app could work around it with `q=<company name>`, and rejected that: free-text relevance search over a company name is not the same set as that company's active jobs and would silently mis-list, so this is genuinely backend work.","lib/features/companies/presentation/company_detail_screen.dart:212-218 renders `'Showing ${c.openings.length} of ${c.activeJobs}.'` with the inline comment ""No \""see all\"" action: /v1/jobs has no company filter, so there is no endpoint to send them to."" jobportal/apps/api/src/public-jobs/dto.ts:36-7"
CQ-060,App claims the user agreed to a Terms & Privacy Policy that does not exist and is not linked,Open,Owner,P0,an owner decision or account,owner: policy drafting + hosting decision; app side ~30 min once the URL exists,"CONFIRMED on both sides. auth_landing_screen.dart:250-256 renders 'By continuing you agree to our Terms & Privacy Policy.' as a bare Text with only a bodySmall/fgSubtle style — no recognizer, no GestureDetector, no InkWell. register_screen.dart:221-227 is the same pattern. I re-ran the link grep myself: the only launchUrl call site in lib/ is external_link.dart:55 (company websites) and the only TapGestureRecognizer is simple_markdown.dart:51,146 — neither reachable from these strings. On the read-only jobportal side, `find apps/web/app -iname '*privacy*' -o -iname '*terms*' -o -iname '*legal*'` returns nothing and a content grep for 'privacy policy|terms of service' across apps/web/app also","lib/features/auth/presentation/auth_landing_screen.dart:250-256 (plain Text, no recognizer); lib/features/auth/presentation/register_screen.dart:221-227 (same); `grep -rn 'launchUrl|TapGestureRecognizer' lib/` -> only external_link.dart:55 and simple_markdown.dart:51,146; jobportal `find apps/web/ap"
CQ-061,No privacy policy exists or is reachable — the Data Safety declaration cannot be completed,Open,Owner,P0,an owner decision or account,~20 min app-side (make the two strings tappable via the already-present url_launcher) once the policy is written and published,"Confirmed, and stronger than the auditor stated — the website has no privacy or terms page at all, so there is nothing to link to even locally. dependsOn=owner is correct: the upstream blocker is legal content the owner must author/approve, and the store-listing privacy-policy URL is a mandatory submission field independent of any code. Play additionally requires in-app access to the policy for apps collecting personal data, which this one does (name, email, phone, uploaded resume). The app-side change is genuinely trivial — url_launcher ^6.3.2 is already a dependency (pubspec.yaml:25) and the manifest already declares the https/http VIEW intent queries needed for canLaunchUrl to work on And","`grep -rniE ""privacy|terms|policy"" lib --include=*.dart` returns exactly three hits, two of which are the disclaimers and one is unrelated prose in a mock article: lib/features/auth/presentation/auth_landing_screen.dart:251 `'By continuing you agree to our Terms & Privacy Policy.'` and lib/features/"
CQ-062,"""Terms & Privacy Policy"" is plain text with nothing behind it",Open,Owner,P0,an owner decision or account,30 min of app work once the document exists and is hosted,"Confirmed: the app asserts the user is agreeing to two documents that do not exist in any form. I am RECLASSIFYING this from app-gated to owner. The auditor framed the blocker as a missing hosted URL, but the binding constraint upstream of that is that nobody has authored or approved the policy text — that is legal paperwork the owner must produce and stand behind, not something a developer or a deploy unblocks. Once the document exists and has an address, the app-side wiring is a tappable TextSpan, well under an hour. Flagging it as owner rather than app-gated is the accurate signal: this one sits on the owner's desk tonight, and it also gates both app-store submissions, so it should be tre","`grep -rni ""privacy\|terms"" lib/ --include=*.dart` returns exactly three hits: auth_landing_screen.dart:251 `'By continuing you agree to our Terms & Privacy Policy.'`, register_screen.dart:222 `'By creating an account you agree to our Terms of Service and Privacy Policy.'`, and one unrelated line of"
CQ-063,No store listing assets or metadata prepared for either Console,Open,Owner,P1,an owner decision or account,"half a day, plus a device or emulator for screenshots","CONFIRMED. dependsOn=owner is the right primary label and I am keeping it: the blocking half is marketing copy (short/full description, subtitle, keywords), a support URL and a marketing URL with no destination (finding #1 shows the site has no contact page), and Console accounts to upload into. Partial nuance the owner should know: the Play 512x512 icon can be exported from assets/icon/app_icon.png and Android phone screenshots can be captured on a Windows emulator by the app dev, so a slice of this is app-independent — but the Apple 6.7""/6.5"" sets need a Mac/simulator, and no amount of app work produces the copy or the support URL.","`find . -maxdepth 3 -type d \( -name fastlane -o -name store -o -name metadata -o -name screenshots \)` (excluding build/) → no results. `find assets -type f` returns 13 files, all in-app: icon/{app_icon.png, app_icon_foreground.png, blank.png, cq_icon.png, splash_branded.png}, images/{cq_arrow_part"
CQ-064,"Visible ""Continue with Google"" buttons open a ""coming soon"" sheet",Open,Owner,P1,an owner decision or account,30 min to hide them; otherwise gated on the Google sign-in feature,"CONFIRMED at all four call sites (register is 'Google sign-up', a trivial variance from the finding's wording). Worth adding for the senior: Google is not the only dead affordance — phone_continue_screen.dart:39 fires showComingSoon(context, 'Phone OTP'), so the 'Continue with Phone' path is a second visible non-functional sign-in option, which compounds the same guideline-2.1 exposure. dependsOn owner is the right call and I am not softening it: removing an advertised sign-in method changes what the product offers, and the alternative (ship it working) is gated on an OAuth client ID the app dev cannot mint. The edit is 30 minutes once someone says 'hide them'.","`grep -rn showComingSoon lib/features/auth/presentation/` → auth_landing_screen.dart:236, login_screen.dart:225, phone_continue_screen.dart:137 all `showComingSoon(context, 'Google sign-in')`, register_screen.dart:241 `'Google sign-up'`. I read the surrounding code at auth_landing_screen.dart:233-23"
CQ-065,No way for a candidate to view the resume the app holds for them,Open,Owner,P2,an owner decision or account,"~2 hours of app work, dead until the flag is enabled","Confirmed on both sides. dependsOn owner is correct and I checked it rather than accepting it: the flag is seeded TIER_GATED and is attached to paid plans, so under CLAUDE.md §0/§4 it ships OFF on Day 0 and the endpoint 403s for every user. Building the button tonight would produce a control that fails for 100% of users — the gating decision is the owner's, not the app dev's. This is distinct from the profileViews item above because here a working endpoint exists behind the flag, so there is genuine queued app work.",jobportal/apps/api/src/resume/resume.controller.ts:37-42 `@Get('download')` under `@Controller('me/resume')`; resume.service.ts:16 `const RESUME_DOWNLOAD_FLAG = 'feature.resume_download_pdf'` and :48-52 `if (!allowed) throw new ForbiddenException('Resume download is not available on your plan')`. Th
